age,job,marital,education,default,balance,housing,loan,day,duration,campaign,pdays,previous,poutcome,y,month_int,cons.conf.idx,emp.var.rate,euribor3m,nr.employed,cons.price.idx
27,management,single,secondary,no,35,no,no,4,4.25,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
54,blue-collar,married,primary,no,466,no,no,4,4.95,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
43,blue-collar,married,secondary,no,105,no,yes,4,11.13,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
31,technician,single,secondary,no,19,no,no,4,1.08,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
27,technician,single,secondary,no,126,yes,yes,4,7.27,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
28,blue-collar,single,secondary,no,-127,yes,no,4,17.4,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
50,blue-collar,married,secondary,no,1329,yes,yes,4,2.35,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,blue-collar,single,primary,no,343,no,no,4,0.65,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
25,blue-collar,single,secondary,no,192,no,no,4,1.87,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
38,blue-collar,married,secondary,no,43,no,yes,4,2.25,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
36,technician,single,secondary,no,-272,no,yes,4,0.88,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
32,blue-collar,divorced,primary,no,4805,no,yes,4,2.3,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
44,technician,married,tertiary,no,1146,no,no,4,2.97,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
37,blue-collar,married,primary,no,380,yes,yes,4,9.13,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
48,services,married,secondary,no,1355,no,no,4,2.23,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
30,admin.,married,secondary,no,215,no,yes,4,1.58,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
54,technician,married,secondary,no,187,no,yes,4,4.55,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
36,unemployed,divorced,primary,no,0,no,no,4,5.07,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
33,technician,single,secondary,no,555,no,yes,4,7.08,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
