,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y
1,33,services,married,secondary,no,4789,yes,yes,11,may,3.67,1,339,4,failure,0
2,35,management,single,tertiary,no,1350,yes,no,16,apr,3.08,1,330,1,failure,0
5,35,management,single,tertiary,no,747,no,no,23,feb,2.35,2,176,3,failure,0
9,43,services,married,primary,no,-88,yes,yes,17,apr,5.22,1,147,2,failure,0
14,31,blue-collar,married,secondary,no,360,yes,yes,29,jan,1.48,1,241,1,failure,0
17,37,admin.,single,tertiary,no,2317,yes,no,20,apr,1.9,1,152,2,failure,0
38,33,management,married,secondary,no,3935,yes,no,6,may,12.75,1,342,2,failure,1
65,51,blue-collar,divorced,secondary,no,203,yes,no,8,may,2.23,1,170,5,failure,0
70,37,management,married,tertiary,no,0,no,no,16,jul,4.47,2,182,3,success,1
79,40,unemployed,married,secondary,no,219,yes,no,17,nov,3.4,2,196,1,failure,0
83,52,services,married,secondary,no,657,no,no,7,jul,6.63,2,460,2,failure,1
97,30,admin.,single,tertiary,no,261,no,no,19,oct,3.88,1,137,20,failure,0
98,36,blue-collar,divorced,secondary,no,2843,no,no,12,feb,7.88,1,182,1,success,0
101,38,management,single,tertiary,no,493,yes,no,11,may,9.22,1,367,7,failure,0
105,32,management,single,tertiary,no,574,yes,no,14,apr,4.32,2,145,3,failure,0
110,21,student,single,secondary,no,2488,no,no,30,jun,4.3,6,169,3,success,1
113,33,blue-collar,single,secondary,no,22,no,no,30,jan,1.27,2,207,1,failure,0
124,51,management,single,tertiary,yes,-55,yes,no,11,may,4.68,2,266,6,failure,0
128,32,blue-collar,single,secondary,no,228,no,no,5,feb,2.93,1,288,3,failure,0
136,29,admin.,single,secondary,no,428,yes,yes,7,may,0.9,1,345,2,failure,0
156,55,admin.,married,secondary,no,602,no,no,1,jun,5.4,3,90,2,success,1
157,55,technician,married,secondary,no,273,yes,no,29,jan,1.4,3,183,3,failure,0
164,28,management,single,tertiary,no,80,no,no,20,oct,11.27,2,146,2,failure,1
177,37,admin.,married,secondary,no,176,yes,no,5,may,2.45,2,347,1,failure,0
179,37,admin.,married,tertiary,no,0,yes,no,17,nov,1.08,2,119,1,failure,0
186,34,admin.,married,tertiary,no,899,yes,no,19,nov,6.28,3,7,4,success,0
188,36,technician,married,secondary,no,23,yes,no,8,may,2.53,2,347,1,failure,0
199,75,retired,married,secondary,no,3771,no,no,15,apr,3.08,1,181,2,success,1
200,34,technician,single,tertiary,no,992,yes,no,4,may,5.02,1,88,2,success,0
202,35,technician,single,tertiary,no,2658,yes,no,19,aug,12.8,2,141,3,failure,1
203,39,management,divorced,tertiary,no,1315,yes,no,19,nov,22.28,4,126,1,failure,0
207,29,technician,married,secondary,no,1599,yes,no,8,jul,1.92,1,61,1,failure,0
208,38,services,single,secondary,no,-196,yes,no,2,feb,1.0,1,271,1,failure,0
217,30,blue-collar,married,secondary,no,975,yes,no,13,may,4.27,2,351,2,failure,0
232,44,technician,single,secondary,no,33,yes,no,13,may,3.25,3,351,10,failure,0
233,45,blue-collar,single,secondary,no,0,yes,no,26,jul,12.8,2,91,5,success,0
249,43,technician,married,secondary,no,0,no,yes,8,may,0.15,2,172,5,failure,0
253,58,retired,married,primary,no,3401,yes,no,3,feb,1.4,3,265,2,failure,0
264,58,technician,married,tertiary,no,883,no,no,18,aug,9.05,1,78,2,failure,0
270,40,services,married,secondary,no,0,yes,no,2,jun,4.95,1,28,3,failure,0
276,35,housemaid,married,tertiary,no,11219,no,no,12,aug,11.65,2,79,1,failure,0
289,34,admin.,married,tertiary,no,69,no,yes,4,aug,2.0,3,1,6,success,1
301,65,retired,divorced,primary,no,1840,no,no,1,jun,6.38,2,188,5,failure,0
310,49,blue-collar,married,secondary,no,8545,yes,yes,6,may,3.32,7,167,1,failure,0
314,25,admin.,single,tertiary,no,760,yes,no,27,may,3.72,3,89,2,failure,1
318,35,entrepreneur,married,secondary,no,2971,no,no,4,may,7.15,4,164,2,failure,1
323,38,management,married,tertiary,no,1199,no,no,4,aug,2.97,1,1,1,success,1
325,33,technician,married,secondary,no,6699,no,no,9,nov,7.08,1,462,1,failure,0
328,35,unemployed,married,secondary,no,978,no,no,29,dec,22.83,3,209,3,success,1
337,33,management,single,tertiary,no,1410,yes,no,5,feb,0.13,1,254,5,failure,0
338,63,retired,married,primary,no,1084,no,no,14,oct,3.35,1,183,1,success,0
340,41,management,married,tertiary,no,832,yes,yes,21,nov,2.73,1,176,1,failure,0
345,36,blue-collar,single,secondary,no,219,yes,yes,11,may,4.5,2,347,1,failure,0
347,55,management,married,primary,no,2587,no,no,4,sep,5.47,2,94,2,success,1
349,47,self-employed,married,tertiary,no,2303,yes,no,6,may,5.38,2,364,1,failure,0
353,50,management,married,tertiary,no,4,no,no,17,nov,3.72,1,96,2,failure,0
354,29,management,married,tertiary,no,318,yes,no,18,may,23.9,2,356,4,failure,0
367,32,management,single,tertiary,no,8436,yes,no,17,apr,4.08,1,149,2,failure,0
374,42,admin.,married,secondary,no,-396,yes,no,11,may,1.33,1,308,4,failure,0
375,30,services,single,secondary,no,0,yes,no,18,may,2.18,6,363,9,failure,0
377,37,management,married,tertiary,no,393,yes,no,14,may,9.45,3,275,4,failure,1
380,39,blue-collar,married,secondary,no,0,yes,no,30,apr,0.88,1,325,1,failure,0
383,37,services,married,secondary,no,1328,yes,no,13,may,2.02,2,341,4,failure,0
394,33,blue-collar,married,secondary,no,43,yes,no,14,may,5.53,2,358,2,failure,0
397,37,technician,single,tertiary,no,6101,no,no,4,may,1.0,5,87,1,success,0
408,44,management,married,secondary,no,438,yes,no,8,may,0.62,3,303,1,failure,0
409,54,admin.,married,secondary,no,0,no,no,28,jan,2.68,1,98,2,failure,1
412,75,retired,divorced,tertiary,no,3810,yes,no,16,nov,4.37,1,183,1,failure,1
421,37,management,married,tertiary,no,502,yes,no,7,may,9.18,1,351,1,failure,0
423,37,management,single,tertiary,no,876,yes,no,15,apr,2.33,4,327,2,failure,0
433,43,blue-collar,married,secondary,no,130,no,no,5,may,2.6,1,337,3,failure,0
459,43,management,divorced,tertiary,no,36,no,no,26,may,1.97,1,102,2,failure,0
464,32,blue-collar,married,secondary,no,889,yes,no,10,sep,3.08,1,99,5,success,1
465,59,housemaid,married,secondary,no,0,no,no,3,feb,12.03,1,99,4,failure,0
477,77,retired,married,tertiary,no,7802,no,no,4,may,7.02,1,92,2,success,1
482,40,technician,married,secondary,no,694,yes,no,4,feb,1.62,4,196,5,failure,0
492,53,admin.,married,secondary,no,1796,no,no,16,mar,4.92,1,91,2,success,1
496,50,housemaid,married,secondary,no,7317,yes,no,13,may,2.87,1,370,1,failure,0
