,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,month_int,cons.conf.idx,emp.var.rate,euribor3m,nr.employed,cons.price.idx
12657,27,management,single,secondary,no,35,no,no,cellular,4,jul,4.25,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12658,54,blue-collar,married,primary,no,466,no,no,cellular,4,jul,4.95,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12659,43,blue-collar,married,secondary,no,105,no,yes,cellular,4,jul,11.13,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12660,31,technician,single,secondary,no,19,no,no,telephone,4,jul,1.08,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12661,27,technician,single,secondary,no,126,yes,yes,cellular,4,jul,7.27,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12662,28,blue-collar,single,secondary,no,-127,yes,no,cellular,4,jul,17.4,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12663,50,blue-collar,married,secondary,no,1329,yes,yes,telephone,4,jul,2.35,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12664,29,blue-collar,single,primary,no,343,no,no,cellular,4,jul,0.65,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12665,25,blue-collar,single,secondary,no,192,no,no,telephone,4,jul,1.87,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12666,38,blue-collar,married,secondary,no,43,no,yes,cellular,4,jul,2.25,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12667,36,technician,single,secondary,no,-272,no,yes,cellular,4,jul,0.88,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12668,32,blue-collar,divorced,primary,no,4805,no,yes,cellular,4,jul,2.3,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12669,44,technician,married,tertiary,no,1146,no,no,cellular,4,jul,2.97,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12670,37,blue-collar,married,primary,no,380,yes,yes,cellular,4,jul,9.13,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12671,48,services,married,secondary,no,1355,no,no,cellular,4,jul,2.23,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12672,30,admin.,married,secondary,no,215,no,yes,cellular,4,jul,1.58,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12673,54,technician,married,secondary,no,187,no,yes,cellular,4,jul,4.55,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12674,36,unemployed,divorced,primary,no,0,no,no,telephone,4,jul,5.07,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12675,33,technician,single,secondary,no,555,no,yes,cellular,4,jul,7.08,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12676,34,services,married,secondary,no,295,yes,yes,cellular,4,jul,1.07,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12677,28,services,single,secondary,no,-116,no,yes,cellular,4,jul,4.6,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12678,33,management,married,secondary,no,4385,no,yes,cellular,4,jul,1.53,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12679,30,services,married,secondary,no,137,no,no,cellular,4,jul,6.78,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12680,34,admin.,single,secondary,no,296,no,no,cellular,7,jul,2.45,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12681,35,admin.,divorced,secondary,no,534,no,no,cellular,7,jul,2.47,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12682,44,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,2.08,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12683,36,services,married,secondary,no,-27,yes,yes,cellular,7,jul,2.52,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12684,49,blue-collar,married,primary,no,-157,yes,no,cellular,7,jul,8.18,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12685,55,blue-collar,married,secondary,no,49,yes,no,cellular,7,jul,8.23,4,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12686,51,technician,married,secondary,no,216,no,no,cellular,7,jul,10.25,2,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12687,51,management,married,tertiary,no,1421,yes,no,cellular,7,jul,2.53,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12688,38,blue-collar,married,secondary,no,222,yes,yes,cellular,7,jul,2.73,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12689,59,entrepreneur,married,tertiary,no,1728,no,no,cellular,7,jul,9.58,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12690,54,management,divorced,tertiary,no,5253,yes,yes,cellular,7,jul,0.28,19,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12691,43,management,single,tertiary,no,47,yes,no,cellular,7,jul,5.27,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12692,60,entrepreneur,divorced,primary,no,2648,no,no,cellular,7,jul,2.47,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12693,34,services,married,secondary,no,0,no,no,cellular,7,jul,2.67,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12694,31,admin.,single,secondary,no,-182,yes,no,cellular,7,jul,3.02,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12695,43,technician,married,secondary,yes,-313,no,yes,cellular,7,jul,1.48,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12696,53,blue-collar,married,primary,no,465,yes,no,cellular,7,jul,1.85,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12697,47,blue-collar,married,primary,yes,25,yes,yes,cellular,7,jul,2.37,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12699,39,management,married,primary,no,551,no,yes,cellular,7,jul,1.78,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12700,56,housemaid,married,primary,no,58,no,yes,cellular,7,jul,3.78,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
