age,job,marital,education,default,balance,housing,loan,day,duration,campaign,pdays,previous,poutcome,y,month_int,cons.conf.idx,emp.var.rate,euribor3m,nr.employed,cons.price.idx
27,1,2,1,0,35,0,0,4,4.25,1,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
54,3,1,3,0,466,0,0,4,4.95,1,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
43,3,1,1,0,105,0,1,4,11.13,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
31,2,2,1,0,19,0,0,4,1.08,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
27,2,2,1,0,126,1,1,4,7.27,4,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
28,3,2,1,0,-127,1,0,4,17.4,3,-1,0,1,1,7,-42.7,1.4,4.955,5228.1,93.918
50,3,1,1,0,1329,1,1,4,2.35,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
29,3,2,3,0,343,0,0,4,0.65,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
25,3,2,1,0,192,0,0,4,1.87,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
38,3,1,1,0,43,0,1,4,2.25,3,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
36,2,2,1,0,-272,0,1,4,0.88,6,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
32,3,3,3,0,4805,0,1,4,2.3,3,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
44,2,1,2,0,1146,0,0,4,2.97,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
37,3,1,3,0,380,1,1,4,9.13,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
48,5,1,1,0,1355,0,0,4,2.23,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
30,4,1,1,0,215,0,1,4,1.58,2,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
54,2,1,1,0,187,0,1,4,4.55,3,-1,0,1,0,7,-42.7,1.4,4.955,5228.1,93.918
